r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
2.8216696919	4.4123460860	0.1661172921	0.7943440697	0.1038150310	0.7611196846	1.0158307535	1.3646422155	0.8550016450	0.8874473788	0.8262815870	0.9634392590	0.9310767114	0.0060468973	0.0008376583	0.0027044472	0.0052092390	0.0018667889	0.0000365650	0.0000007017	0.0000073140	0.0000271362	0.0000034849	0.0000445807	0.0000306211	0.0000752017
2.8216696919	4.5103982212	0.1626532709	0.7860672954	0.1027357247	0.7538212593	1.0210158086	1.3667555857	0.8530326834	0.8872352434	0.8249980291	0.9614504042	0.9298526351	0.0037413670	0.0005985898	0.0011498247	0.0031427772	0.0005512349	0.0000139978	0.0000003583	0.0000013221	0.0000098770	0.0000003039	0.0000156782	0.0000101809	0.0000258591
2.8216696919	4.6084503565	0.1593140725	0.7780034686	0.1016841094	0.7466932982	1.0260837315	1.3688156239	0.8510841331	0.8870245240	0.8237130980	0.9594820775	0.9286249429	0.0014544919	0.0003610604	-0.0004088854	0.0010934315	-0.0007699458	0.0000021155	0.0000001304	0.0000001672	0.0000011956	0.0000005928	0.0000024131	0.0000017884	0.0000042015
2.8216696919	4.7065024917	0.1560932798	0.7701437514	0.1006590396	0.7397294051	1.0310387503	1.3708244982	0.8491549964	0.8868152507	0.8224267619	0.9575331455	0.9273935707	-0.0008147625	0.0001251052	-0.0019717372	-0.0009398676	-0.0020968424	0.0000006638	0.0000000157	0.0000038877	0.0000008834	0.0000043967	0.0000045672	0.0000052801	0.0000098473
2.8216696919	4.8045546270	0.1529849031	0.7624798107	0.0996594349	0.7329235145	1.0358848835	1.3727842555	0.8472443389	0.8866074477	0.8211389939	0.9556025512	0.9261584662	-0.0030673668	-0.0001092473	-0.0035387792	-0.0029581195	-0.0034295319	0.0000094087	0.0000000119	0.0000125230	0.0000087505	0.0000117617	0.0000219436	0.0000205122	0.0000424558
2.8216696919	4.9026067622	0.1499833456	0.7550037820	0.0986842754	0.7262698696	1.0406259538	1.3746968302	0.8453512851	0.8864011345	0.8198497720	0.9536893087	0.9249195878	-0.0053042326	-0.0003419740	-0.0051100541	-0.0049622586	-0.0047680801	0.0000281349	0.0000001169	0.0000261127	0.0000246240	0.0000227346	0.0000543645	0.0000473586	0.0001017231
2.8216696919	5.0006588975	0.1470833717	0.7477082359	0.0977325975	0.7197630024	1.0452655996	1.3765640516	0.8434750138	0.8861963262	0.8185590787	0.9517924967	0.9236769038	-0.0075262161	-0.0005730567	-0.0066855992	-0.0069531594	-0.0061125425	0.0000566439	0.0000003284	0.0000446972	0.0000483464	0.0000373632	0.0001016696	0.0000857096	0.0001873792
2.8216696919	5.0987110327	0.1442800784	0.7405861471	0.0968034897	0.7133977154	1.0498072867	1.3783876515	0.8416147541	0.8859930340	0.8172669010	0.9499112542	0.9224303912	-0.0097341227	-0.0008024816	-0.0082654470	-0.0089316412	-0.0074629654	0.0000947531	0.0000006440	0.0000683176	0.0000797742	0.0000556959	0.0001637147	0.0001354701	0.0002991848
2.8216696919	5.1967631680	0.1415688696	0.7336308673	0.0958960895	0.7071690646	1.0542543183	1.3801692707	0.8397697819	0.8857912659	0.8159732298	0.9480447757	0.9211800356	-0.0119287105	-0.0010302386	-0.0098496248	-0.0108984719	-0.0088193863	0.0001422941	0.0000010614	0.0000970151	0.0001187767	0.0000777816	0.0002403706	0.0001965583	0.0004369289
2.8216696919	5.2948153032	0.1389454323	0.7268360988	0.0950095796	0.7010723435	1.0586098452	1.3819104649	0.8379394165	0.8855910269	0.8146780600	0.9461923067	0.9199258295	-0.0141106931	-0.0012563208	-0.0114381558	-0.0128543723	-0.0101818350	0.0001991117	0.0000015783	0.0001308314	0.0001652349	0.0001036698	0.0003315214	0.0002689047	0.0006004261
2.8216696919	5.3928674384	0.1364057157	0.7201958715	0.0941431851	0.6951030688	1.0628768741	1.3836127107	0.8361230175	0.8853923195	0.8133813902	0.9443531406	0.9186677728	-0.0162807432	-0.0014807242	-0.0130310585	-0.0148000190	-0.0115503343	0.0002650626	0.0000021925	0.0001698085	0.0002190406	0.0001334102	0.0004370636	0.0003524508	0.0007895144
2.8216696919	5.4909195737	0.1339459111	0.7137045210	0.0932961706	0.6892569670	1.0670582763	1.3852774103	0.8343199822	0.8851951440	0.8120832221	0.9425266145	0.9174058710	-0.0184394951	-0.0017034474	-0.0146283475	-0.0167360477	-0.0129249001	0.0003400150	0.0000029017	0.0002139886	0.0002800953	0.0001670530	0.0005569053	0.0004471483	0.0010040536
2.8216696919	5.5889717089	0.1315624345	0.7073566691	0.0924678380	0.6835299618	1.0711567954	1.3869058964	0.8325297428	0.8849994988	0.8107835608	0.9407121065	0.9161401356	-0.0205875474	-0.0019244911	-0.0162300335	-0.0186630562	-0.0143055424	0.0004238471	0.0000037037	0.0002634140	0.0003483097	0.0002046485	0.0006909648	0.0005529582	0.0012439230
2.8216696919	5.6870238442	0.1292519103	0.7011472048	0.0916575235	0.6779181625	1.0751750544	1.3884994366	0.8307517640	0.8848053805	0.8094824144	0.9389090327	0.9148705831	-0.0227254650	-0.0021438580	-0.0178361238	-0.0205816070	-0.0156922658	0.0005164468	0.0000045961	0.0003181273	0.0004236025	0.0002462472	0.0008391702	0.0006698498	0.0015090200
2.8216696919	5.7850759794	0.1270111567	0.6950712683	0.0908645959	0.6724178535	1.0791155626	1.3900592376	0.8289855411	0.8846127844	0.8081797936	0.9371168445	0.9135972347	-0.0248537819	-0.0023615523	-0.0194466220	-0.0224922296	-0.0170850697	0.0006177105	0.0000055769	0.0003781711	0.0005059004	0.0002918996	0.0010014585	0.0007978000	0.0017992585
2.8216696919	5.8831281147	0.1248371715	0.6891242345	0.0900884545	0.6670254838	1.0829807214	1.3915864484	0.8272305981	0.8844217043	0.8068757119	0.9353350263	0.9123201160	-0.0269730026	-0.0025775798	-0.0210615287	-0.0243954228	-0.0184839489	0.0007275429	0.0000066439	0.0004435880	0.0005951367	0.0003416564	0.0011777748	0.0009367930	0.0021145678
2.8216696919	5.9811802499	0.1227271202	0.6833016992	0.0893285272	0.6617376584	1.0867728308	1.3930821643	0.8254864850	0.8842321332	0.8055701850	0.9335630928	0.9110392562	-0.0290836042	-0.0027919475	-0.0226808416	-0.0262916567	-0.0198888941	0.0008458560	0.0000077950	0.0005144206	0.0006912512	0.0003955681	0.0013680716	0.0010868193	0.0024548909
2.8216696919	6.0792323852	0.1206783243	0.6775994654	0.0885842687	0.6565511290	1.0904940945	1.3945474301	0.8237527774	0.8840440629	0.8042632309	0.9318005877	0.9097546883	-0.0311860382	-0.0030046635	-0.0243045554	-0.0281813747	-0.0212998919	0.0009725690	0.0000090280	0.0005907114	0.0007941899	0.0004536854	0.0015723084	0.0012478753	0.0028201837
2.8216696919	6.1772845204	0.1186882507	0.6720135310	0.0878551588	0.6514627861	1.0941466249	1.3959832426	0.8220290736	0.8838574846	0.8029548697	0.9300470811	0.9084664482	-0.0332807318	-0.0032157367	-0.0259326623	-0.0300649950	-0.0227169256	0.0011076071	0.0000103410	0.0006725030	0.0009039039	0.0005160587	0.0017904510	0.0014199626	0.0032104137
2.8216696919	6.2753366556	0.1167545023	0.6665400772	0.0871407014	0.6464696518	1.0977324481	1.3973905538	0.8203149943	0.8836723885	0.8016451235	0.9283021682	0.9071745750	-0.0353680898	-0.0034251771	-0.0275651521	-0.0319429126	-0.0241399750	0.0012509018	0.0000117318	0.0007598376	0.0010203497	0.0005827384	0.0020224712	0.0016030881	0.0036255593
2.8216696919	6.3733887909	0.1148748086	0.6611754582	0.0864404226	0.6415688721	1.1012535082	1.3987702733	0.8186101802	0.8834887646	0.8003340159	0.9265654675	0.9058791102	-0.0374484955	-0.0036329951	-0.0292020122	-0.0338155004	-0.0255690171	0.0014023898	0.0000131987	0.0008527575	0.0011434881	0.0006537746	0.0022683460	0.0017972627	0.0040656087
2.8216696919	6.4714409261	0.1130470181	0.6559161908	0.0857538696	0.6367577109	1.1047116718	1.4001232709	0.8169142916	0.8833066020	0.7990215725	0.9248366193	0.9045800979	-0.0395223124	-0.0038392018	-0.0308432278	-0.0356831106	-0.0270040260	0.0015620132	0.0000147395	0.0009513047	0.0012732844	0.0007292174	0.0025280574	0.0020025018	0.0045305592
2.8216696919	6.5694930614	0.1112690902	0.6507589453	0.0850806095	0.6320335437	1.1081087315	1.4014503783	0.8152270069	0.8831258898	0.7977078201	0.9231152844	0.9032775840	-0.0415898851	-0.0040438089	-0.0324887824	-0.0375460763	-0.0284449736	0.0017297185	0.0000163524	0.0010555210	0.0014097078	0.0008091165	0.0028015919	0.0022188244	0.0050204163
2.8216696919	6.6675451966	0.1095390882	0.6457005372	0.0844202283	0.6273938515	1.1114464101	1.4027523919	0.8135480212	0.8829466164	0.7963927870	0.9214011426	0.9019716167	-0.0436515404	-0.0042468282	-0.0341386574	-0.0394047122	-0.0298918292	0.0019054570	0.0000180355	0.0011654479	0.0015527313	0.0008935215	0.0030889405	0.0024462528	0.0055351933
2.8216696919	6.7655973319	0.1078551731	0.6407379188	0.0837723298	0.6228362158	1.1147263635	1.4040300743	0.8118770458	0.8827687700	0.7950765029	0.9196938920	0.9006622458	-0.0457075884	-0.0044482722	-0.0357928325	-0.0412593162	-0.0313445604	0.0020891836	0.0000197871	0.0012811269	0.0017023312	0.0009824815	0.0033900976	0.0026848126	0.0060749103
2.8216696919	6.8636494671	0.1062155973	0.6358681720	0.0831365344	0.6183583132	1.1179501844	1.4052841560	0.8102138070	0.8825923387	0.7937589984	0.9179932473	0.8993495225	-0.0477583235	-0.0046481534	-0.0374512859	-0.0431101701	-0.0328031325	0.0022808575	0.0000216053	0.0014025988	0.0018584868	0.0010760455	0.0037050616	0.0029345323	0.0066395939
2.8216696919	6.9617016024	0.1046186993	0.6310885008	0.0825124785	0.6139579108	1.1211194054	1.4065153375	0.8085580454	0.8824173103	0.7924403053	0.9162989392	0.8980334997	-0.0498040252	-0.0048464848	-0.0391139942	-0.0449575405	-0.0342675094	0.0024804409	0.0000234884	0.0015299045	0.0020211804	0.0011742622	0.0040338339	0.0031954426	0.0072292765
2.8216696919	7.0597537376	0.1030628981	0.6263962257	0.0818998136	0.6096328617	1.1242355013	1.4077242906	0.8069095147	0.8822436725	0.7911204565	0.9146107134	0.8967142312	-0.0518449591	-0.0050432793	-0.0407809326	-0.0468016798	-0.0357376533	0.0026878998	0.0000254347	0.0016630845	0.0021903972	0.0012771799	0.0043764189	0.0034675771	0.0078439960
2.8216696919	7.1578058728	0.1015466887	0.6217887765	0.0812982053	0.6053811009	1.1272998927	1.4089116599	0.8052679815	0.8820714129	0.7897994856	0.9129283295	0.8953917721	-0.0538813773	-0.0052385501	-0.0424520751	-0.0486428272	-0.0372135251	0.0029032028	0.0000274424	0.0018021787	0.0023661246	0.0013848464	0.0047328239	0.0037509711	0.0084837950
2.8216696919	7.2558580081	0.1000686376	0.6172636876	0.0807073330	0.6012006412	1.1303139479	1.4100780645	0.8036332241	0.8819005190	0.7884774269	0.9112515604	0.8940661786	-0.0559135195	-0.0054323104	-0.0441273945	-0.0504812091	-0.0386950841	0.0031263217	0.0000295100	0.0019472269	0.0025483525	0.0014973095	0.0051030586	0.0040456620	0.0091487206
2.8216696919	7.3539101433	0.0986273787	0.6128185917	0.0801268885	0.5970895693	1.1332789856	1.4112240987	0.8020050320	0.8817309783	0.7871543158	0.9095801913	0.8927375073	-0.0579416135	-0.0056245736	-0.0458068624	-0.0523170399	-0.0401822889	0.0033572306	0.0000316358	0.0020982686	0.0027370727	0.0016146163	0.0054871350	0.0043516890	0.0098388241
2.8216696919	7.4519622786	0.0972216090	0.6084512156	0.0795565762	0.5930460427	1.1361962770	1.4123503339	0.8003832053	0.8815627783	0.7858301879	0.9079140193	0.8914058161	-0.0599658760	-0.0058153529	-0.0474904495	-0.0541505231	-0.0416750966	0.0035959063	0.0000338183	0.0022553428	0.0029322792	0.0017368137	0.0058850674	0.0046690928	0.0105541602
2.8216696919	7.5500144138	0.0958500857	0.6041593748	0.0789961117	0.5890682860	1.1390670482	1.4134573194	0.7987675543	0.8813959065	0.7845050797	0.9062528524	0.8900711631	-0.0619865129	-0.0060046618	-0.0491781254	-0.0559818511	-0.0431734637	0.0038423278	0.0000360560	0.0024184880	0.0031339677	0.0018639480	0.0062968718	0.0049979156	0.0112947874
2.8216696919	7.6480665491	0.0945116222	0.5999409696	0.0784452219	0.5851545882	1.1418924821	1.4145455833	0.7971578986	0.8812303503	0.7831790280	0.9045965092	0.8887336072	-0.0640037202	-0.0061925135	-0.0508698591	-0.0578112067	-0.0446773456	0.0040964762	0.0000383472	0.0025877426	0.0033421356	0.0019960652	0.0067225660	0.0053382008	0.0120607668
2.8216696919	7.7461186843	0.0932050853	0.5957939807	0.0779036439	0.5813032993	1.1446737204	1.4156156339	0.7955540668	0.8810660973	0.7818520702	0.9029448180	0.8873932076	-0.0660176843	-0.0063789214	-0.0525656186	-0.0596387629	-0.0461866971	0.0043583346	0.0000406906	0.0027631443	0.0035567820	0.0021332110	0.0071621695	0.0056899930	0.0128521626
2.8216696919	7.8441708196	0.0919293920	0.5917164651	0.0773711248	0.5775128278	1.1474118652	1.4166679606	0.7939558960	0.8809031351	0.7805242440	0.9012976165	0.8860500240	-0.0680285825	-0.0065638988	-0.0542653711	-0.0614646838	-0.0477014723	0.0046278880	0.0000430848	0.0029447305	0.0037779074	0.0022754305	0.0076157033	0.0060533378	0.0136690411
2.8216696919	7.9422229548	0.0906835072	0.5877065529	0.0768474213	0.5737816380	1.1501079811	1.4177030344	0.7923632313	0.8807414514	0.7791955874	0.8996547511	0.8847041162	-0.0700365836	-0.0067474587	-0.0559690833	-0.0632891249	-0.0492216246	0.0049051230	0.0000455282	0.0031325383	0.0040055133	0.0024227683	0.0080831895	0.0064282817	0.0145114712
2.8216696919	8.0402750900	0.0894664405	0.5837624433	0.0763322988	0.5701082476	1.1527630966	1.4187213095	0.7907759253	0.8805810341	0.7778661389	0.8980160766	0.8833555446	-0.0720418482	-0.0069296143	-0.0576767213	-0.0651122339	-0.0507471070	0.0051900279	0.0000480196	0.0033266042	0.0042396030	0.0025752689	0.0085646516	0.0068148719	0.0153795235
2.8216696919	8.1383272253	0.0882772445	0.5798824017	0.0758255317	0.5664912249	1.1553782055	1.4197232232	0.7891938381	0.8804218708	0.7765359369	0.8963814556	0.8820043693	-0.0740445292	-0.0071103786	-0.0593882505	-0.0669341507	-0.0522778719	0.0054825923	0.0000505575	0.0035269643	0.0044801805	0.0027329759	0.0090601141	0.0072131564	0.0162732705
2.8216696919	8.2363793605	0.0871150119	0.5760647564	0.0753269022	0.5629291875	1.1579542687	1.4207091974	0.7876168364	0.8802639497	0.7752050204	0.8947507582	0.8806506510	-0.0760447722	-0.0072897645	-0.0611036359	-0.0687550077	-0.0538138714	0.0057828074	0.0000531407	0.0037336543	0.0047272511	0.0028959328	0.0095696024	0.0076231838	0.0171927862
2.8216696919	8.3344314958	0.0859788739	0.5723078960	0.0748362005	0.5594207991	1.1604922156	1.4216796389	0.7860447935	0.8801072588	0.7738734281	0.8931238615	0.8792944501	-0.0780427156	-0.0074677848	-0.0628228420	-0.0705749309	-0.0553550572	0.0060906655	0.0000557678	0.0039467095	0.0049808209	0.0030641824	0.0100931427	0.0080450032	0.0181381460
2.8216696919	8.4324836310	0.0848679978	0.5686102662	0.0743532243	0.5559647683	1.1629929450	1.4226349403	0.7844775886	0.8799517863	0.7725411993	0.8915006491	0.8779358271	-0.0800384916	-0.0076444522	-0.0645458329	-0.0723940394	-0.0569013807	0.0064061601	0.0000584376	0.0041661645	0.0052408969	0.0032377671	0.0106307623	0.0084786641	0.0191094264
2.8216696919	8.5305357663	0.0837815855	0.5649703676	0.0738777783	0.5525598464	1.1654573268	1.4235754804	0.7829151071	0.8797975204	0.7712083730	0.8898810112	0.8765748426	-0.0820322255	-0.0078197793	-0.0662725723	-0.0742124462	-0.0584527930	0.0067292860	0.0000611489	0.0043920538	0.0055074872	0.0034167290	0.0111824888	0.0089242162	0.0201067050
2.8216696919	8.6285879015	0.0827188716	0.5613867529	0.0734096739	0.5492048257	1.1678862028	1.4245016251	0.7813572397	0.8796444496	0.7698749884	0.8882648438	0.8752115570	-0.0840240372	-0.0079937785	-0.0680030237	-0.0760302587	-0.0600092452	0.0070600388	0.0000639005	0.0046244112	0.0057806002	0.0036011095	0.0117483506	0.0093817097	0.0211300603
2.8216696919	8.7266400368	0.0816791215	0.5578580250	0.0729487294	0.5458985375	1.1702803884	1.4254137277	0.7798038824	0.8794925625	0.7685410847	0.8866520487	0.8738460306	-0.0860140404	-0.0081664622	-0.0697371502	-0.0778475782	-0.0615706880	0.0073984151	0.0000666911	0.0048632701	0.0060602454	0.0037909496	0.0123283764	0.0098511951	0.0221795714
2.8216696919	8.8246921720	0.0806616303	0.5543828345	0.0724947689	0.5426398510	1.1726406730	1.4263121297	0.7782549363	0.8793418478	0.7672067012	0.8850425329	0.8724783235	-0.0880023435	-0.0083378424	-0.0714749145	-0.0796645011	-0.0631370721	0.0077444125	0.0000695196	0.0051086634	0.0063464327	0.0039862899	0.0129225955	0.0103327226	0.0232553181
2.8216696919	8.9227443072	0.0796657213	0.5509598777	0.0720476225	0.5394276711	1.1749678215	1.4271971610	0.7767103070	0.8791922942	0.7658718769	0.8834362086	0.8711084958	-0.0899890500	-0.0085079313	-0.0732162794	-0.0814811186	-0.0647083481	0.0080980291	0.0000723849	0.0053606236	0.0066391727	0.0041871703	0.0135310376	0.0108263430	0.0243573806
2.8216696919	9.0207964425	0.0786907441	0.5475878944	0.0716071263	0.5362609378	1.1772625751	1.4280691406	0.7751699051	0.8790438907	0.7645366510	0.8818329929	0.8697366071	-0.0919742579	-0.0086767408	-0.0749612072	-0.0832975171	-0.0662844664	0.0084592641	0.0000752858	0.0056191826	0.0069384764	0.0043936305	0.0141537325	0.0113321068	0.0254858394
2.8216696919	9.1188485777	0.0777360740	0.5442656668	0.0711731214	0.5331386240	1.1795256524	1.4289283772	0.7736336449	0.8788966264	0.7632010625	0.8802328074	0.8683627170	-0.0939580611	-0.0088442827	-0.0767096603	-0.0851137784	-0.0678653776	0.0088281172	0.0000782213	0.0058843720	0.0072443553	0.0046057095	0.0147907106	0.0118500648	0.0266407753
2.8216696919	9.2169007130	0.0768011104	0.5409920166	0.0707454544	0.5300597344	1.1817577500	1.4297751692	0.7721014452	0.8787504905	0.7618651503	0.8786355781	0.8669868848	-0.0959405485	-0.0090105685	-0.0784616007	-0.0869299799	-0.0694510322	0.0092045888	0.0000811903	0.0061562228	0.0075568214	0.0048234459	0.0154420020	0.0123802673	0.0278222693
2.8216696919	9.3149528482	0.0758852756	0.5377658043	0.0703239769	0.5270233047	1.1839595434	1.4306098055	0.7705732287	0.8786054723	0.7605289531	0.8770412352	0.8656091693	-0.0979218049	-0.0091756099	-0.0802169906	-0.0887461950	-0.0710413807	0.0095886799	0.0000841918	0.0064347656	0.0078758871	0.0050468778	0.0161076373	0.0129227649	0.0290304022
2.8216696919	9.4130049835	0.0749880140	0.5345859272	0.0699085452	0.5240283997	1.1861316881	1.4314325658	0.7690489214	0.8784615613	0.7591925095	0.8754497127	0.8642296293	-0.0999019112	-0.0093394181	-0.0819757917	-0.0905624931	-0.0726363736	0.0099803919	0.0000872247	0.0067200304	0.0082015652	0.0052760428	0.0167876470	0.0134776079	0.0302652549
2.8216696919	9.5110571187	0.0741087908	0.5314513177	0.0694990201	0.5210741126	1.1882748200	1.4322437209	0.7675284534	0.8783187471	0.7578558580	0.8738609484	0.8628483230	-0.1018809440	-0.0095020044	-0.0837379660	-0.0923789397	-0.0742359616	0.0103797268	0.0000902881	0.0070120470	0.0085338685	0.0055109780	0.0174820618	0.0140448465	0.0315269083
2.8216696919	9.6091092540	0.0732470912	0.5283609423	0.0690952671	0.5181595640	1.1903895565	1.4330435331	0.7660117576	0.8781770195	0.7565190369	0.8722748838	0.8614653083	-0.1038589767	-0.0096633798	-0.0855034753	-0.0941955968	-0.0758400955	0.0107866870	0.0000933809	0.0073108443	0.0088728105	0.0057517201	0.0181909122	0.0146245306	0.0328154428
2.8216696919	9.7071613892	0.0724024195	0.5253137998	0.0686971556	0.5152839004	1.1924764966	1.4338322565	0.7644987705	0.8780363682	0.7551820841	0.8706914635	0.8600806429	-0.1058360785	-0.0098235554	-0.0872722815	-0.0960125231	-0.0774487261	0.0112012755	0.0000965022	0.0076164511	0.0092184046	0.0059983052	0.0189142289	0.0152167098	0.0341309386
2.8216696919	9.8052135244	0.0715742981	0.5223089205	0.0683045594	0.5124462937	1.1945362224	1.4346101374	0.7629894314	0.8778967834	0.7538450375	0.8691106356	0.8586943839	-0.1078123158	-0.0099825419	-0.0890443462	-0.0978297739	-0.0790618043	0.0116234954	0.0000996511	0.0079288956	0.0095706647	0.0062507689	0.0196520422	0.0158214336	0.0354734757
2.8216696919	9.9032656597	0.0707622668	0.5193453643	0.0679173557	0.5096459398	1.1965692991	1.4353774147	0.7614836827	0.8777582551	0.7525079348	0.8675323510	0.8573065881	-0.1097877514	-0.0101403500	-0.0908196314	-0.0996474014	-0.0806792814	0.0120533504	0.0001028267	0.0082482055	0.0099296046	0.0065091464	0.0204043825	0.0164387510	0.0368431336
2.8216696919	10.0013177949	0.0699658819	0.5164222201	0.0675354261	0.5068820582	1.1985762757	1.4361343197	0.7599814693	0.8776207735	0.7511708134	0.8659565638	0.8559173119	-0.1117624451	-0.0102969903	-0.0925980988	-0.1014654548	-0.0823011085	0.0124908441	0.0001060280	0.0085744079	0.0102952385	0.0067734725	0.0211712801	0.0170687110	0.0382399910
2.8216696919	10.0993699302	0.0691847156	0.5135386046	0.0671586552	0.5041538906	1.2005576857	1.4368810772	0.7584827391	0.8774843292	0.7498337102	0.8643832305	0.8545266112	-0.1137364537	-0.0104524732	-0.0943797104	-0.1032839805	-0.0839272373	0.0129359809	0.0001092542	0.0089075297	0.0106675806	0.0070437812	0.0219527648	0.0177113618	0.0396641266
2.8216696919	10.1974220654	0.0684183554	0.5106936607	0.0667869314	0.5014607007	1.2025140479	1.4376179050	0.7569874422	0.8773489124	0.7484966622	0.8628123104	0.8531345416	-0.1157098312	-0.0106068089	-0.0961644281	-0.1051030223	-0.0855576192	0.0133887650	0.0001125044	0.0092475972	0.0110466453	0.0073201062	0.0227488667	0.0183667515	0.0411156182
2.8216696919	10.2954742007	0.0676664031	0.5078865573	0.0664201464	0.4988017727	1.2044458664	1.4383450144	0.7554955312	0.8772145140	0.7471597060	0.8612437655	0.8517411580	-0.1176826289	-0.0107600076	-0.0979522139	-0.1069226213	-0.0871922063	0.0138492011	0.0001157778	0.0095946362	0.0114324469	0.0076024808	0.0235596151	0.0190349278	0.0425945429
2.8843734628	4.4123460860	0.1664018470	0.8023860915	0.1029626447	0.7663220167	1.0089594562	1.3663111807	0.8566986751	0.8876167468	0.8274241640	0.9651673182	0.9321862921	0.0080297568	0.0010284886	0.0040862858	0.0070012683	0.0030577972	0.0000644770	0.0000010578	0.0000166977	0.0000490178	0.0000093501	0.0000822325	0.0000583679	0.0001406004
2.8843734628	4.5103982212	0.1629385579	0.7940241066	0.1018962482	0.7590185832	1.0141740813	1.3683999891	0.8547407345	0.8874071807	0.8261603810	0.9631888869	0.9309823033	0.0057416929	0.0007923609	0.0025577479	0.0049493320	0.0017653870	0.0000329670	0.0000006278	0.0000065421	0.0000244959	0.0000031166	0.0000401369	0.0000276125	0.0000677494
2.8843734628	4.6084503565	0.1595999468	0.7858776637	0.1008571386	0.7518848371	1.0192716056	1.3704362110	0.8528035495	0.8871989247	0.8248952968	0.9612314958	0.9297749059	0.0034727199	0.0005576542	0.0010252926	0.0029150657	0.0004676384	0.0000120598	0.0000003110	0.0000010512	0.0000084976	0.0000002187	0.0000134220	0.0000087163	0.0000221383
2.8843734628	4.7065024917	0.1563796065	0.7779377941	0.0998441892	0.7449144405	1.0242562326	1.3724219805	0.8508861062	0.8869920163	0.8236288803	0.9592939853	0.9285640290	0.0012217888	0.0003244116	-0.0005111322	0.0008973772	-0.0008355438	0.0000014928	0.0000001052	0.0000002613	0.0000008053	0.0000006981	0.0000018593	0.0000015034	0.0000033627
2.8843734628	4.8045546270	0.1532715568	0.7701960432	0.0988563377	0.7381013819	1.0291319591	1.3743593126	0.8489874555	0.8867864860	0.8223611050	0.9573752745	0.9273496135	-0.0010120850	0.0000926687	-0.0020515735	-0.0011047538	-0.0021442423	0.0000010243	0.0000000086	0.0000042090	0.0000012205	0.0000045978	0.0000052419	0.0000058183	0.0000110601
2.8843734628	4.9026067622	0.1502702095	0.7626444329	0.0978925808	0.7314399545	1.0339025878	1.3762501113	0.8471067074	0.8865823592	0.8210919487	0.9554743545	0.9261316111	-0.0032298261	-0.0001375448	-0.0035960735	-0.0030922813	-0.0034585286	0.0000104318	0.0000000189	0.0000129317	0.0000095622	0.0000119614	0.0000233824	0.0000215236	0.0000449061
2.8843734628	5.0006588975	0.1473703371	0.7552754276	0.0969519707	0.7249247368	1.0385717389	1.3780961778	0.8452430273	0.8863796563	0.8198213933	0.9535902830	0.9249099835	-0.0054323033	-0.0003662050	-0.0051446691	-0.0050660984	-0.0047784641	0.0000295099	0.0000001341	0.0000264676	0.0000256654	0.0000228337	0.0000561116	0.0000484991	0.0001046107
2.8843734628	5.0987110327	0.1445670442	0.7480819030	0.0960336109	0.7185505745	1.0431428620	1.3798992171	0.8433956314	0.8861783935	0.8185494247	0.9517221787	0.9236847014	-0.0076203341	-0.0005932924	-0.0066973931	-0.0070270417	-0.0061041007	0.0000580695	0.0000003520	0.0000448551	0.0000493793	0.0000372600	0.0001032766	0.0000866394	0.0001899159
2.8843734628	5.1967631680	0.1418557416	0.7410571179	0.0951366527	0.7123125633	1.0476192455	1.3816608448	0.8415637833	0.8859785830	0.8172760326	0.9498692174	0.9224557436	-0.0097946877	-0.0008187922	-0.0082542736	-0.0089758956	-0.0074354814	0.0000959359	0.0000006704	0.0000681330	0.0000805667	0.0000552864	0.0001647394	0.0001358531	0.0003005924
2.8843734628	5.2948153032	0.1392321230	0.7341946876	0.0942602920	0.7062060339	1.0520040266	1.3833825930	0.8397467906	0.8857802341	0.8160012103	0.9480306269	0.9212230968	-0.0119560890	-0.0010426928	-0.0098153345	-0.0109133962	-0.0087726417	0.0001429481	0.0000010872	0.0000963408	0.0001191022	0.0000769592	0.0002403761	0.0001960615	0.0004364375
2.8843734628	5.3928674384	0.1366921435	0.7274885604	0.0934037663	0.7002265378	1.0563002000	1.3850659157	0.8379440019	0.8855833528	0.8147249543	0.9462056837	0.9199867542	-0.0141052209	-0.0012649862	-0.0113805957	-0.0128402347	-0.0101156095	0.0001989573	0.0000016002	0.0001295180	0.0001648716	0.0001023256	0.0003300754	0.0002671972	0.0005972726
2.8843734628	5.4909195737	0.1342320002	0.7209329952	0.0925663519	0.6943698335	1.0605106261	1.3867121940	0.8361548036	0.8853879429	0.8134472645	0.9443937093	0.9187467155	-0.0162427279	-0.0014856673	-0.0129500735	-0.0147570606	-0.0114644062	0.0002638262	0.0000022072	0.0001677044	0.0002177708	0.0001314326	0.0004337378	0.0003492034	0.0007829413
2.8843734628	5.5889717089	0.1318481145	0.7145225415	0.0917473617	0.6886318746	1.0646380386	1.3883227404	0.8343786178	0.8851940059	0.8121681437	0.9425940667	0.9175029862	-0.0183692181	-0.0017047332	-0.0145237803	-0.0166644849	-0.0128190472	0.0003374282	0.0000029061	0.0002109402	0.0002777051	0.0001643280	0.0005512745	0.0004420330	0.0009933075
